brian,BPName,Account#,Contract#,ContractStartDt,ContractEndDt,Rate,Premise#,PremiseAddress,UsageMonth,Invoice#,Bill#,BillPeriodStartDate,BillPeriodEndDate,BillPeriodDays,BillAmount,kWhQty,BilledkW,ActualkW,BLC,Meter#
10255635,BOISE STATE UNIVERSITY,2223505682,32585679,11/23/2017,NULL,I01,60325774,1303 S CHRISWAY DR 310 /BOISE ID 83706-4270,202201,6190397986,1590775173,12/24/2021,1/24/2022,32,22.93,187,NULL,5,NULL,75359978
10255635,BOISE STATE UNIVERSITY,2223504115,32582716,10/25/2017,NULL,I01,60174789,1311 S CHRISWAY DR 312 /BOISE ID 83706-4181,202201,6067860335,1191739915,12/24/2021,1/24/2022,32,34.17,306,NULL,4,NULL,75359983
10255635,BOISE STATE UNIVERSITY,2223504115,32582142,10/25/2017,NULL,I01,60419379,1311 S CHRISWAY DR 108 /BOISE ID 83706-4181,202201,6067860335,1452828298,12/24/2021,1/24/2022,32,51.01,484,NULL,4,NULL,75359984
10255635,BOISE STATE UNIVERSITY,2223504115,32582175,10/25/2017,NULL,I01,60178760,1311 S CHRISWAY DR 212 /BOISE ID 83706-4181,202201,6067860335,1100050375,12/24/2021,1/24/2022,32,45.82,429,NULL,7,NULL,75359985
10255635,BOISE STATE UNIVERSITY,2223504115,32582187,10/25/2017,NULL,I01,60113216,1311 S CHRISWAY DR 412 /BOISE ID 83706-4181,202201,6067860335,1468089980,12/24/2021,1/24/2022,32,55.57,532,NULL,6,NULL,75359986
10255635,BOISE STATE UNIVERSITY,2223504115,32582193,10/25/2017,NULL,I01,60102850,1311 S CHRISWAY DR 208 /BOISE ID 83706-4181,202201,6067860335,1544548828,12/24/2021,1/24/2022,32,39.37,361,NULL,4,NULL,75359987
10255635,BOISE STATE UNIVERSITY,2223504115,32582190,10/25/2017,NULL,I01,60457350,1311 S CHRISWAY DR 408 /BOISE ID 83706-4181,202201,6067860335,1130632460,12/24/2021,1/24/2022,32,34.93,314,NULL,4,NULL,75359988
10255635,BOISE STATE UNIVERSITY,2223504115,32582707,10/25/2017,NULL,I01,60062214,1311 S CHRISWAY DR 308 /BOISE ID 83706-4181,202201,6067860335,1191740103,12/24/2021,1/24/2022,32,43.93,409,NULL,4,NULL,75359989
10255635,BOISE STATE UNIVERSITY,2223504115,32582156,10/25/2017,NULL,I01,60516491,1311 S CHRISWAY DR 104 /BOISE ID 83706-4181,202201,6067860335,1468090233,12/24/2021,1/24/2022,32,39.01,357,NULL,4,NULL,75359990
10255635,BOISE STATE UNIVERSITY,2223504115,32582181,10/25/2017,NULL,I01,60410398,1309 S CHRISWAY DR 209 /BOISE ID 83706-4187,202201,6067860335,1529262107,12/24/2021,1/24/2022,32,38.26,349,NULL,5,NULL,75359991
